Build Type,Kilo Meter,ownerNo,OEM,Model,modelYear,centralVariantId,Variant Name,price,Registration Year,Insurance Validity,Fuel Type,Seats,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Color,Displacement,No of Cylinder,Values per Cylinder,No Of Doors,Max Power(bhp),Max Torque(Nm)
Hatchback,120000,3,Maruti,Maruti Celerio,2015,3979,VXI,4.0,2015,Third Party insurance,Petrol,5.0,998,Manual,2015,23.1,998,White,998.0,3.0,4.0,5.0,67.04,90.0
SUV,32706,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,8.11,2018,Comprehensive,Petrol,5.0,1497,Manual,2018,17.0,1497,White,1497.0,3.0,4.0,4.0,121.31,150.0
Hatchback,11949,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,5.85,2018,Comprehensive,Petrol,5.0,1199,Manual,2018,23.84,1199,Red,1199.0,3.0,4.0,5.0,84.0,114.0
Sedan,17794,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,4.62,2014,Comprehensive,Petrol,5.0,1197,Manual,2014,19.1,1197,Others,1197.0,4.0,4.0,4.0,81.86,113.75
SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,7.9,2015,Third Party insurance,Diesel,5.0,1248,Manual,2015,23.65,1248,Gray,1248.0,4.0,4.0,5.0,88.5,200.0
SUV,20000,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,19.0,2020,Third Party insurance,Diesel,5.0,1956,Manual,2020,17.1,1956,Others,1956.0,4.0,4.0,5.0,170.0,350.0
Hatchback,37772,1,Datsun,Datsun GO,2017,5223,T Option BSIV,3.45,2017,Comprehensive,Petrol,5.0,1198,Manual,2017,20.63,1198,Grey,1198.0,3.0,4.0,5.0,67.0,104.0
SUV,30000,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,12.0,2021,Third Party insurance,Petrol,5.0,998,Automatic,2021,18.15,998,Others,998.0,3.0,4.0,5.0,118.35,171.6
Sedan,37000,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,9.6,2018,Comprehensive,Petrol,5.0,1462,Automatic,2018,20.28,1462,Maroon,1462.0,4.0,4.0,4.0,103.25,138.0
Hatchback,11949,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,5.85,2018,Comprehensive,Petrol,5.0,1199,Manual,2017,23.84,1199,Red,1199.0,3.0,4.0,5.0,84.0,114.0
Hatchback,50000,1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,6.9,2018,Third Party insurance,Petrol,5.0,1197,Manual,2018,21.4,1197,Red,1197.0,4.0,4.0,5.0,83.1,115.0
Hatchback,24887,1,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,6.82,2019,Third Party insurance,Petrol,5.0,1197,Automatic,2019,18.9,1197,Orange,1197.0,4.0,4.0,5.0,81.86,113.75
Hatchback,23000,1,Honda,Honda Jazz,2018,6506,VX CVT,8.25,2018,Comprehensive,Petrol,5.0,1199,Automatic,2018,18.2,1199,Grey,1199.0,4.0,4.0,5.0,88.7,110.0
Hatchback,48928,1,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,5.95,2018,Comprehensive,Petrol,5.0,1199,Automatic,2018,23.84,1199,Red,1199.0,3.0,4.0,5.0,83.83,114.0
SUV,108862,3,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,6.9,2014,Comprehensive,Diesel,7.0,2179,Manual,2014,15.1,2179,Silver,2179.0,4.0,4.0,5.0,140.0,330.0
