,Max Torque,Max Torque(Nm)
0,90Nm@3500rpm,90.0
1,150Nm@4500rpm,150.0
2,114Nm@3500rpm,114.0
3,113.75Nm@4000rpm,113.75
4,200Nm@1750rpm,200.0
5,350Nm@1750-2500rpm,350.0
6,104Nm@4000rpm,104.0
7,171.6Nm@1500-4000rpm,171.6
8,138Nm@4400rpm,138.0
9,114Nm@3500rpm,114.0
10,115Nm@4000rpm,115.0
11,113.75nm@4000rpm,113.75
12,110Nm@4800rpm,110.0
13,114Nm@3500rpm,114.0
14,330Nm@1600-2800rpm,330.0
15,350Nm@1750-2500rpm,350.0
17,219.6Nm@1500-2750rpm,219.6
18,170Nm@1750-4000rpm,170.0
19,145Nm@4600rpm,145.0
20,"35.7 @ 1,750-3,000 (kgm@rpm)",349.86000000000007
21,113Nm@4400rpm,113.0
22,142Nm @ 4000RPM,142.0
23,114Nm@3500rpm,114.0
24,700Nm@1800-3500rpm,700.0
25,145Nm@4600rpm,145.0
26,99Nm@4500 rpm,99.0
27,96.1Nm@3000rpm,96.1
28,300Nm@1600-4000rpm,300.0
29,330Nm@1600-2800rpm,330.0
30,380Nm@1750-2500rpm,380.0
31,330Nm@1600-2800rpm,330.0
32,350Nm@1750-2500rpm,350.0
33,113.75nm@4000rpm,113.75
34,90Nm@3500rpm,90.0
35,138Nm@4400rpm,138.0
36,400Nm@1600-2800rpm,400.0
37,90Nm@3500rpm,90.0
38,350Nm@1450-4800rpm,350.0
39,343 Nm @ 1400-3400 rpm,343.0
40,245Nm@1750rpm,245.0
41,114.7Nm@4000rpm,114.7
42,219.7Nm@1500-2750rpm,219.7
43,115Nm@4000rpm,115.0
44,177.5Nm@4700rpm,177.5
45,400Nm@1750-3000rpm,400.0
46,69Nm@3500rpm,69.0
47,290Nm@1800-2800rpm,290.0
48,280Nm@1250rpm,280.0
49,114Nm@3500rpm,114.0
50,242nm@1500-3200rpm,242.0
51,114Nm@3500rpm,114.0
53,62Nm@3000rpm,62.0
54,117nm@4000rpm,117.0
55,619Nm@1600-2400rpm,619.0
56,350Nm@1750-2500rpm,350.0
